LAT,LON,SPEED,COURSE,HEADING,DESTINATION,FLAG,LENGTH,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,DWT,DATETIME,PORT,date,week_nb,ship_type,port,is_parked,LAT_lag,LON_lag,vessel_distance
54.67177,19.80285,66,112,123,KALININGRAD,HK,177,DELPHIS BOTHNIA,7,4133526,30,24700,2016-12-18T06:51:02Z,kalingrad,2016-12-18,51,Cargo,Kalingrad,0,59.91929,30.01159,845795.3298452456
54.67473,20.14485,0,316,248,SVETLYY,RU,104,STARYY ARBAT,2,4156224,16,1810,2016-12-14T12:51:03Z,kalingrad,2016-12-14,50,Fishing,Kalingrad,1,54.67498,20.14534,42.06254030435893
54.62413,18.92408,138,28,27,BALTIYSK ANCHORAGE,PA,228,ATROTOS HERACLES,7,415711,32,81922,2016-12-17T07:37:02Z,gdansk,2016-12-17,51,Cargo,Gdańsk,0,54.61001,18.91085,1788.267193545112
59.91627,30.02777,113,292,292,KRONSHTADT,RU,95,ELBRUS,3,4157948,22,NA,2016-12-15T10:35:04Z,st_petersburg,2016-12-15,50,Tug,St. Petersburg,0,59.91124,30.05233,1480.5355928689619
57.7439,11.66121,72,179,180,CLASS B,SE,24,DROTT AF DYRON,6,4158211,5,NA,2016-12-16T09:07:05Z,gothenborg,2016-12-16,51,Passenger,gothenborg,0,57.75201,11.65924,910.3556420724607
59.91667,30.02511,109,111,112,ST. PETERSBURG,PA,237,MSC SANTHYA,7,416514,32,46600,2016-12-20T04:15:03Z,st_petersburg,2016-12-20,51,Cargo,St. Petersburg,0,59.91933,30.01209,784.5150292057922
59.89602,30.1267,65,292,293,LE HAVRE,PA,242,MSC SABRINA,7,418044,32,43078,2016-12-16T23:01:03Z,st_petersburg,2016-12-16,51,Cargo,St. Petersburg,0,59.88975,30.15704,1832.3283965494982
54.79666,18.43039,99,259,257,WLADYSLAWOWO,CY,36,KAMBR,3,4180748,9,0,2016-12-19T11:21:06Z,gdynia,2016-12-19,51,Tug,Gdynia,0,54.79793,18.44127,712.3667118637745
55.65516,20.8662,95,64,511,CLASS B,LT,25,LILIAN101,9,4187538,6,NA,2016-12-15T16:41:07Z,klaipeda,2016-12-15,50,Pleasure,Klaipeda,0,55.60352,20.87367,5767.682564657692
57.60117,11.60028,83,319,315,ANTWERP,PA,316,SEROJA EMPAT,7,418949,45,90488,2016-12-20T03:55:04Z,gothenborg,2016-12-20,51,Cargo,gothenborg,0,57.60493,11.65567,3330.037575042437
